Restaurant name,Restaurant Rating,Restaurant latitude,Restaurant longitude
Fritanga El Malecon,3.9,25.867431640625,-80.2762832641602
Fonda Dulce Jesus Mio Miami,2.6,25.9257199,-80.31215
El Yoyito Restaurant Y Cafeteria,3.6,25.86752,-80.27285
Bar-B-Que Ribs Chicken & Jerk Shack,3.8,25.8847519853341,-80.2426274042949
Vicky Bakery,2.8,25.87225,-80.315637
Don Anthonys Pizza and More,5.0,26.5809307,-81.9912186
7-Eleven,4.0,26.5610832594801,-81.9575518369675
IHOP,2.8,26.55554,-81.87126
Perkins Restaurant & Bakery,3.3,26.6645874171483,-81.8867281079292
Roosters Barn And Grill,2.9,26.52104,-81.89936
Starbucks,3.7,26.55603360000003,-81.89673572170072
Taco Bell,1.9,26.651152678677185,-81.97465980239045
Yellow Fever Creek Preserve,4.7,26.7056604000691,-81.94048060981
Latino’s Joint,5.0,26.60209883,-81.9749825
Dynamite Street Eatz,3.5,26.642874,-81.864288
Wild Burger,5.0,26.65062398978288,-81.9796347631328
Delectable by Design,5.0,26.5053157806396,-81.9483261108398
Domino's Pizza,2.5,26.6304703,-81.9402466
Deep Down South BBQ,3.1,26.5888739,-81.86915820000002
El Gran Taco Loco,5.0,26.636465,-82.038276
Buddha Bar & Grill,3.3,26.5580959320068,-81.909294128418
Capone's Pizza & Restaurant,3.7,26.6626491546631,-81.9402847290039
Zaxby's Chicken Fingers & Buffalo Wings,2.9,26.569312491350843,-81.87136112390155
The Munchie Machine,1.0,26.56298,-81.95159
Dunkin',1.7,26.66784110303339,-81.93895386290028
Tropical Smoothie Cafe,2.6,30.4461442,-84.3185930725186
North Florida Wildlife Center,4.8,30.452254991568044,-83.91131364652041
Civil Rights Heritage Walk,4.0,30.4400893,-84.2825128
Dairy Queen Grill & Chill,2.5,30.4763801997012,-84.3625465035439
Zaxby's Chicken Fingers & Buffalo Wings,2.8,30.5599616,-84.2196260743369
Yes Chef! Cafe,4.0,30.4330034,-84.29176450644006
Tiki Dawgs,5.0,30.47789,-84.36587
Pizza Hut,5.0,30.46416241413054,-84.22871704550006
Little Caesars Pizza,2.1,30.43539,-84.26277
Taco Bell,2.8,30.409881,-84.280753
Bojangles,4.0,30.446475,-84.319368
Eyes Of Texas Cafe,4.0,30.4567664812908,-84.2606254559439
Trail Break Cafe,3.4,30.41022,-84.34435
Firehouse Subs,3.3,30.46091,-84.36166
Declaration Statue,5.0,30.4355056000267,-84.2982006676274
McDonald's,1.2,30.4410036034044,-84.3199284615844
Althemese Pemberton Barnes Park at Smokey Hallow,4.0,30.43870427,-84.27658021
Moe's Southwest Grill,2.0,30.50710017462237,-84.24880083477908
McDonald's,1.5,30.4020849226837,-84.2361634178178
Sonic Drive-In,1.4,30.4605965,-84.3617036231262
Snyder Park,4.3,26.08271277263237,-80.148185
Downtown Cigar Bar,4.8,26.1136819972673,-80.1434813439846
New River Cafe and Bakery,4.4,26.118486,-80.136949
Hugh Taylor Birch State Park,4.2,26.1382949,-80.104748
Tortillería Mexicana,4.2,26.1777744,-80.1344528
Mini Pita Mediterranean Restaurant,4.4,26.23207,-80.09814
Infinity Lounge,3.4,26.1557237,-80.1388157
Jet's Pizza,3.7,26.16657,-80.12949
Kabobji - Davie,4.4,26.04724794710416,-80.24987307320036
Sarpino's Pizzeria,3.3,26.121731322686564,-80.14222704110625
My Market & Deli,3.9,26.10042,-80.14479
All Spice Jamaican Restaurant,3.7,26.13631900794958,-80.15415895889589
The Fresh Squeeze,4.5,26.052393,-80.1369598
The Magic Cow,4.9,26.067323,-80.251527
Vinnie's by the Sea,3.7,26.18954017,-80.09622267
The Bite Eatery,4.3,26.232365,-80.096042
R.O.K.,4.0,26.186765,-80.251167
El Patio Colombian Restaurant,3.9,26.0541879,-80.2074954
Casavana Restaurante,3.1,26.0693449992295,-80.1437740137716
Al Salam Halal Mediterranean Restaurant ,4.1,26.149201,-80.255816
Ken & Mike's Pizza Pasta & More,3.4,25.9224,-80.30854
Don Pan,2.8,26.008454,-80.295006
POC American Fusion Buffet & Sushi,3.6,26.0994762,-80.3775949
Los Antojitos Tacos,4.6,26.00959,-80.24863
La flor de tamarindo,4.6,26.007138,-80.362381
Miramar Pineland Park,4.5,25.9771867824736,-80.2473477949677
Waffle House,3.3,26.061273,-80.346511
Luv'N Oven Pizza & Pasta,3.5,26.0640011,-80.2764359
Smokey Bears Bbq & Catering,5.0,26.02013,-80.34243
Santino's Pizza & Pasta,3.0,26.009301,-80.390291
Starbucks,3.0,26.0078439,-80.2749249
Yum Korea,3.6,26.09794,-80.38101
La Hormiga De Oro,3.7,26.0088061273255,-80.2458991496681
Hoffman's Sweet Shoppe,4.2,26.1106285782217,-80.2520594042992
Chez Katu,4.0,25.994533,-80.2302361
Edible Creations,3.8,26.0440942,-80.2779874
Saigon Baguette Vietnamese Sandwiches,4.3,26.04538667,-80.22586333
Bricked Burgers,4.1,25.689487564159094,-80.38674207194474
Wawa,4.1,26.0456444740826,-80.2301275987246
World Famous,3.6,25.95100525,-80.245143
Mauro Cafe,4.2,34.0834770202637,-118.366485595703
Le Comptoir,4.1,34.063453,-118.3007158
Guisados,4.4,34.0702395145121,-118.250448424643
LAces,4.6,34.074031944589144,-118.3096658611664
California Pizza Kitchen,3.4,34.10279,-118.339309
Avra Beverly Hills,4.0,34.0674763148473,-118.399656802222
Tam O'Shanter,3.9,34.125484,-118.264194
Melrose Cafe,4.4,34.09567,-118.29596
Hanabi Sushi Bar,4.5,34.076016,-118.2950192
Sonoratown,4.5,34.05396,-118.35523
Soho House West Hollywood,4.3,34.089801158221,-118.392811079327
Wat Dong Moon Lek Noodle,3.9,34.0954504683199,-118.28494475374
KazuNori | Mid-Wilshire,4.3,34.06372,-118.36446
KazuNori | DTLA,4.4,34.0476390576719,-118.247747561303
The Vine Street Deli,4.3,34.09375,-118.32724
The Drunken Burrito,4.6,34.10181294224333,-118.33488602578164
Hoys Wok Chinese Food,4.6,34.073278849760705,-118.3769215
Seoul Pho,4.2,34.06577,-118.30847
Noya Kitchen,4.6,34.068773,-118.305728
GRANVILLE,4.6,34.164681,-118.373756
Citizens Field,2.5,29.6626205742359,-82.3068767040968
Circle K,1.0,29.70189,-82.27876
Downtown Fats ,3.0,29.65053,-82.325308
Emeralds Lounge,2.7,29.6765098571777,-82.3869781494141
Porter's Community Center & Playground,2.0,29.646626,-82.327566
Genji Ramen,2.2,29.6261767341448,-82.3766639997528
Steak Almighty Jax,3.0,30.3224557,-81.52591369999999
38th Street Park,3.0,29.66573,-82.38132
Freshzza,2.0,29.6580175,-82.41123669999999
The Only Coney,3.7,30.091775871309057,-81.40968058675585
Full Cup Frozen Yogurt,1.0,29.6399529,-82.3426742
Waffle House - Gainesville,1.0,29.61805,-82.38286
Turkey Creek Golf and Country Club,3.5,29.757915,-82.414288
Broken Arrow Bluff,1.0,29.612434912296106,-82.40517986966596
Mystic Hookah Lounge and Cafe,1.0,29.62897937908769,-82.37311633256815
Gainesville's Railroads Historical Marker,3.0,29.65398,-82.33067
Barnie's Coffee & Tea Co,1.5,29.6594351,-82.4142806
Reitz Union Food Court,3.0,29.6519508361816,-82.3227767944336
Arby's,1.8,29.61939,-82.38338
Sweet Creek,2.0,29.6395950317383,-82.3214645385742
Pretty Healthy,3.9,25.93458,-80.24514
Latin Flavor Cafe,2.7,25.9782088086984,-80.3015075804628
KZ Wellness Cafe,3.6,25.8706719,-80.3151383
Fonda Dulce Jesus Mio Miami,2.6,25.9257199,-80.31215
Start to Finish Golf Academy,4.8,26.004566,-80.350968
The Wild Flamingo,4.8,26.064669198718,-80.302962474525
Dan the Cookie Man,5.0,26.1215648651123,-80.1273345947266
El Rincon Colombiano,2.0,26.00476126795925,-80.31683268605168
Cool Runnings Cafe,3.0,25.9808594,-80.2778917
D & G Jamaican Restaurant,3.7,25.9821987,-80.2246125
Graziano's Mercado - Hialeah,3.9,25.87673,-80.31483
Steve's Pizza,3.7,26.0460314,-80.3128051
Vie De France,3.8,25.9127813,-80.3115851
Miami Hot BBQ,3.5,26.045481,-80.223094
Crab garden,4.2,25.930612,-80.243317
The Original Ranch House Restaurant,3.4,25.89802,-80.31521
Cali Coffee,5.0,26.03915839607558,-80.25079316834716
D'Delicious Delicacies,5.0,25.98822,-80.25521
Starbucks,3.7,26.029953,-80.3601337
Panera Bread,2.3,25.981151,-80.358965
Jersey Mike's Subs,4.3,26.19111,-80.25258
Milano Italian Grill,3.5,26.1950649,-80.2670689
St Bess Kitchen,4.3,26.16558,-80.25989
Huong's Bistro,4.2,26.177863,-80.204335
Parkland Bagels & Deli,3.4,26.318814,-80.203282
Cookies by Design,4.3,26.367423,-80.090757
Wendy's,1.7,26.272115607887976,-80.26009107458812
La Brasa Grill - Hillsboro,3.2,26.31824,-80.182649
La Granja,3.7,26.23355473657807,-80.20438835797135
Espresso Yourself,3.7,26.241755,-80.248576
Checkers,1.6,26.27292,-80.25901
El Colombiano Colombian Cuisine Sunrise,3.4,26.170363,-80.297379
Crisp N Grill,4.0,26.2314,-80.1589557
Fern Gully Grill,4.0,26.2163551531827,-80.1554627716541
Cucina Bambina,4.8,26.188251495361328,-80.17120361328125
Açaí com Tapioca,3.6,26.31747051167452,-80.1479827
The Caribe Vegan,4.8,26.13527679,-80.12199402
Teaspoon,4.9,26.31606,-80.157785
Menchie's Frozen Yogurt,3.9,26.196288,-80.251552
Burger King,1.7,26.2721842564553,-80.2658208
Oahu Kava Bar,5.0,26.724687,-80.0785375
Smoothie Me Please,4.5,26.784109,-80.05499
Genji Sushi Bars,5.0,26.7204132,-80.0886002
Pizza De Roma,3.6,26.6633267,-80.0557897
El Molino Restaurant de WPB,2.9,26.648406,-80.113515
The Wildflower,4.7,26.805064,-80.07508899999999
Restaurante Y Pupuceria El Guanaco,4.1,26.62764,-80.07302
Juicy Cocktail Bar,5.0,26.71202,-80.05172
Mario's On Lake Ave,2.9,26.61579030437653,-80.05562625825404
Camilli's Pizza,3.6,26.79908,-80.07169
Romeo's Pizza & Restaurant,2.8,26.67918,-80.1187
Churrasco Grill Food Truck,3.8,26.83833,-80.1158
The Exquisite Table,4.9,26.640011,-80.056867
Houte’s Caribbean Kitchen,4.3,26.6917,-80.08667
Zaxby's Chicken Fingers & Buffalo Wings,1.7,26.7259889,-80.0849425
Rita's Italian Ice,4.0,26.707393199015208,-80.11254189999993
Jon Smith Subs West,3.6,26.66182,-80.11229
David's Place,4.4,26.7023699,-80.08212
Little Italy Italian Restaurant and  Pizza,4.1,26.6315116882324,-80.1126327514648
Curry Tabanca,3.7,26.6190110393944,-80.116327404478
SoFresh,4.3,28.0608808,-82.7086722
Luna Lux,3.5,27.8905788636441,-82.6657623052597
Euro Food & Deli,4.6,27.9168739318848,-82.7441329956055
The Nash Keys Dueling Piano Bar,5.0,27.96575823711217,-82.7992053
The Cooler,4.2,27.9835399955993,-82.8273143901783
Teriyaki Madness,3.9,27.89456397665824,-82.66937006679908
Bay 1 Ice Cream & Sandwich Shop,4.6,27.85787,-82.84649
Dog & Parrot Beach Pub,3.9,27.8574071,-82.8465533
GulfSide Pizza & Subs,4.5,27.87962,-82.8403
R E Olds Park,4.6,28.037511,-82.66309
First Watch,3.9,28.04496,-82.68047
Leonardo’s Pizzeria,4.7,28.061511,-82.73975062883603
Simon's Pub,4.3,27.9976463317871,-82.7833862304688
Amorama Latin Nightclub,3.8,27.8947356444586,-82.7144999232418
Wawa,3.0,27.959969811996295,-82.74745339221941
Panera Bread,2.9,27.958972,-82.726547
China 1,3.4,27.9889533048885,-82.7753690780394
Tacos Gone Mobile,4.1,28.06871,-82.44522
China One,3.6,27.915375,-82.747661
Dunedin Causeway,4.4,28.0527423171965,-82.8027105331421
Inika Foods,4.8,26.15784875872309,-80.131926
Anthony's Coal Fired Pizza & Wings,3.8,26.342620066888255,-80.08660765033187
Brancas Restaurant,4.3,26.2795391,-80.0970917
Dino's Subs & More,5.0,26.20054,-80.18826
Minji's Cafe,4.2,26.1654049,-80.2424442
All Star Pizza & Italian Restaurant,3.9,26.310561,-80.200355
Krakus Polish Deli,4.8,26.2279451,-80.2237
Just Baked,4.4,26.350950530593,-80.0861535
Boca Raton South Beach Pavilion,4.4,26.3542553,-80.0702938
Flanigan's Seafood Bar & Grill,3.3,26.1917247428485,-80.2028872926867
Huey Magoo's Chicken Tenders - Oakland Park,4.0,26.1892915,-80.1362592
UYE: Pinky's Plunge,5.0,26.2356701,-80.0888824
Sushi Song Deerfield Beach,3.8,26.31586179394923,-80.07798258031146
Stingers Pizza,2.8,26.222632228757348,-80.0918595
Olympia Flame Diner,3.8,26.31628604924192,-80.0906158
Los Perros del Sobrino,3.9,26.270925210332283,-80.23167591165688
Mamma Mia Bistro,4.6,26.153748651233165,-80.14065639938802
Gusticos Bistro,4.0,26.31863,-80.13421
Sylvains Cafe,4.2,26.313488908761,-80.08356311417606
Patrizia's,3.6,26.16811,-80.10182
Wingstop,3.4,25.97081,-80.20488
Las Delicias Colombianas,4.3,25.92628,-80.15615
Abuela’s Kitchen Latin American,3.8,25.93078,-80.16152
Berny’s Kitchen & Bar,3.6,25.98409,-80.1873
Three Palms Cuban Cafe,4.4,26.0319233684564,-80.1502503209028
JP Mulligans Restaurant & Pub,3.6,26.022832,-80.314075
King Jerk,4.3,25.89947,-80.21169
Hoagie Hut,4.0,25.8746238,-80.242429
First Watch,3.5,26.0112237,-80.174908
Brio Italian Grille,3.2,26.003611,-80.338158
Sushi 'n Thai,3.7,26.0111863179117,-80.1807139519254
Totoritas Peruvian Restaurant,3.5,26.0096476,-80.2408241
Freddo,4.6,26.005617642776496,-80.3337408067457
100 Montaditos,3.5,25.91321558793905,-80.31106885272422
Kung Fu Tea,4.2,26.0464969,-80.23683
The Chef,4.1,25.899535,-80.161412
Land n Sea Cajun Seafood,4.3,25.92955,-80.18942
Jersey Mike's Subs,4.1,26.007221271580757,-80.36060716172196
Chili's,2.1,25.9310340881348,-80.2942199707031
LOUIS Coffee & Bakery,4.4,25.983489643766063,-80.31074129999999
Toa Toa Chinese Restaurant,3.6,26.1759290825925,-80.269421999015
The Cheese Course,4.0,26.097901046318,-80.381002109021
Konakai,4.1,26.1774015275684,-80.2698938548565
Qwench Juice Bar & DRNK Coffee + Tea,4.6,26.0064318,-80.3121049
Este's Mucho Perro,3.9,26.0073985230683,-80.2498941725898
Tijuana Flats,3.8,26.007138,-80.316417
Broadway Bagels,3.7,26.13512238546753,-80.2845652
Fancy Loaf Caribbean Bakery & Restaurant,4.5,25.9729,-80.18192
Five Guys,3.8,26.008768028290472,-80.29568381494715
RiceUp Asian Kitchen,3.6,26.115202621208045,-80.3758364
Tropics Restaurant & Nightclub,4.1,26.008786,-80.22953
Outback Steakhouse,3.2,26.0075353046125,-80.2851085160877
Poohchello's,4.1,25.97286,-80.2255466666675
Los Verdes,3.4,26.094164,-80.369507
The Garden Grill,3.9,26.0661447,-80.22965552749774
Mojitobar,2.9,26.1542356,-80.3218198
Ay Bendito Con Sabor A Puerto Rico,4.6,25.6811962127686,-80.4158172607422
Jeremiah's Italian Ice,4.6,26.006832226532087,-80.35599020000069
Old Davie School Historical Museum,4.0,26.0643,-80.23561
Freze N Nitro Creamery,4.4,25.9855323,-80.2987864
Starbucks,2.8,34.93862033,-80.9783006
Ice Cream Queen,5.0,35.0853405,-80.8820137
Starbucks,2.9,34.95705534,-81.0470107
McAlister's deli,1.2,34.9690545816873,-81.0604736208916
Lige Street Park,3.0,34.909038,-81.037
Trading Path historical marker,5.0,35.076521,-80.882357
Workman Street Park,3.0,34.91438,-81.01129
Guy Fieri's Flavortown Kitchen,1.2,35.08640902089766,-80.89150989598852
Highland Park,3.0,34.92289,-81.01321
Rock City Tavern,2.6,34.961226,-81.006178
Totally Tea,1.5,35.0814236132164,-80.87836512845497
Dunkin',1.0,34.9681576,-80.99522910413813
ARBY'S,2.1,35.11687,-81.07474
The Bread Store,5.0,34.8997387575283,-81.0297888144851
Ole Buddy's Oinker Express,4.7,35.40226,-80.86223
Calhoun Street Park,3.0,35.0105572853025,-80.95087986123285
Bojangles Famous Chicken N Biscuits,2.0,34.9159584,-81.0012894
Burger King,3.0,34.943689,-80.9637
Pardon My Cheesesteak,1.0,35.08536136905572,-80.8801084
Rock Hill Coffee,2.6,34.925584067639825,-81.02647250361187
Tijuana Taxi Co,3.3,26.303367,-80.093535
Orient Garden,4.2,26.334459,-80.204158
Maoz Vegetarian - Delray Beach,4.5,26.439284,-80.06856
Jeremiah's Italian Ice,4.4,26.36745,-80.17377
Brooklyn Boys Pizza & Pasta,3.5,26.3681349,-80.2013861
Vic & Angelo's,3.3,26.4615640600966,-80.0704622268677
Jimmy's Bistro,4.1,26.46129257483959,-80.07301051504658
Naked Taco - Coconut Creek,3.4,26.2847372,-80.18707328220836
South Inlet Park,4.1,26.3331796030011,-80.0739285697299
Sorrisi,3.5,26.27799,-80.199065
Smash House Burgers Boca,3.9,26.361649739409547,-80.15323745889559
BURNT Smokehouse & Bar,3.5,26.36806,-80.17308
Costa Sur Cuban Cafe,4.6,26.27484,-80.11465
Olive Garden Italian Restaurant,2.8,26.347751,-80.154279
Belladukes,4.9,26.351695,-80.084448
The Wick Theatre & Costume Museum,4.1,26.421384,-80.074491
Seabra Bakery & Cafe,4.3,26.386813582663148,-80.0797283435761
Deerfield Beach Arboretum,4.4,26.31874896769702,-80.14313890264324
The Seed Coffee + Juice Bar,4.7,26.2750411198058,-80.09569601498144
China Spring II,3.8,26.3375526,-80.203872
Americas Bakery And Restaurant,4.1,26.061215,-80.253311
Hooters,2.8,26.1725106,-80.2560681
Marando Farms & Ranch,3.8,26.056276,-80.233124
Fresh Box Cafe,4.9,26.1850757598877,-80.1903686523438
Golden Krust,3.6,26.1442508,-80.316296
Wow Wing House,4.4,26.1870202,-80.2061895
Topgolf,3.9,26.22532,-80.15278
Chick-fil-A,3.0,26.0960763,-80.2501233
Zinncredible Pizza & Panini,3.7,26.065708,-80.259735
Shorty's BBQ,3.1,26.046356,-80.252294
Carvel,4.2,26.192467836084,-80.2750543321188
Disalvo's Pizza & Italian Restaurant,3.5,26.046604,-80.253245
Rotelli,3.4,26.19435528904677,-80.2859247
Ruthy’s Bakery,4.4,26.057732909564464,-80.25336644662906
Paty's Cafe,4.6,26.0905094146729,-80.1624450683594
Fire Lobster,4.3,26.121197,-80.218626
El Colombiano Colombian Cuisine Sunrise,3.4,26.170363,-80.297379
Teppanyaki Buffet,3.3,26.0257225598801,-80.2235543023774
Latin Bohemia Grill,3.8,26.214455,-80.157255
Killer B Burgers & Wings,3.9,26.107758010220184,-80.26214399999999
Sweetly Dipped Confections,5.0,28.03301,-82.58971
sushimotion,4.9,28.082002,-82.540297
New York New York Pizza,3.4,27.93922,-82.48337
Crumbl - South Tampa,4.5,27.92748473968366,-82.50556145767028
Joe's Produce & Deli,4.2,28.04234656367859,-82.67728250237803
Amorino,4.3,27.965409108367304,-82.52040804657874
Bistro 118,4.4,27.9757127360737,-82.5097315013409
Camel Tow Taco,4.7,28.455885077939115,-81.4710755655485
Delicias Colombianas,4.0,27.998978,-82.58223
Safety Harbor Waterfront Park,5.0,27.990003,-82.686157
Safety Harbor Pier,4.5,27.98950100379654,-82.68703205862104
Joto's Pizza - Belcher,4.1,27.855769,-82.7367374
Pei Wei Asian Kitchen,3.6,27.958300490828982,-82.52446308129062
Cafe Habana - Sabor a Cuba,4.4,27.958803051349207,-82.48274239999999
Dummy Crabby,5.0,27.99657,-82.48511
Chick-fil-A,3.3,27.997077166110177,-82.57943453238494
Turkuaz Mediterranean,4.3,28.08123778978996,-82.50765229999999
Jekyll at Hyde Park,3.9,27.93721,-82.47511
The Tiki Tavern,3.3,27.99094857759387,-82.68954582024487
PDQ Chicken,3.7,27.925389569888942,-82.50636512010148
Domino's Pizza,2.2,26.6195568,-81.8723177
Taco Bell,1.7,26.5465905276781,-81.7988371888221
Dunkin',2.0,26.547908727330643,-81.80701711705034
Sbarro,2.4,26.527987354382983,-81.75528508697239
KFC,1.9,26.564178,-81.872578
Little Caesars Pizza,2.6,26.664429,-81.833076
Hunter Park,4.0,26.570604971341243,-81.8830926
Brazilian Bakery,3.7,26.60551,-81.85132
Burger King,2.0,26.616305,-81.771458
Dunkin',2.8,26.528229140545783,-81.75641985197677
Wendy's,2.3,26.5287239948359,-81.8695069189911
Starbucks,2.5,26.670068,-81.9374868
Farzaneh Kitchen and Bakery,5.0,26.62071228027344,-81.87286376953125
Dunkin',1.6,26.631833946933178,-81.87218687190739
Cajun Gringos,3.6,26.63928,-81.86813
Taco Bell,1.9,26.614457,-81.87198
China One,3.1,26.6845084,-81.8840648
Moose Lodge,3.1,26.6966094970703,-81.7737121582031
Fat Apple,3.4,26.700326994610425,-81.84790547910029
Chief Billy Bowlegs,4.0,26.65178,-81.85655
Pasquale's Pizza Company,3.6,26.28664738203598,-80.20008943168689
Play By Play Sports Bar & Lounge,3.9,26.2240878,-80.1231151
Bella Roma | Pizzeria & Restaurant,3.5,26.245144,-80.182103
Positano Italian Restaurant,3.6,26.389649902026193,-80.07595602944775
Trend Tea,4.9,26.3683064,-80.1289321
Milagros Restaurant,4.0,26.35083,-80.08245
Jodi's Cupcakes & More,4.5,26.37666,-80.07687
Saigon Cuisine,3.6,26.247524,-80.199904
Bagel City South,3.1,26.331482,-80.137741
Cuban Cafe,4.1,26.25077,-80.15225
Jeremiah's Italian Ice,4.5,26.3186185,-80.156142
